"case_number","date","year","month","time","date_time","crime_code","crime","block","street","type","beat","command","weapon","motivation","number_of_suspects","suspect","victim_count","victim_other","injury","suspect_race_0","suspect_race_1","suspect_race_2","suspect_sex_0","suspect_sex_1","suspect_sex_2","victim_race_0","victim_race_1","victim_race_2","victim_race_3","victim_sex_0","victim_sex_1","victim_sex_2","victim_sex_3"
"16000456","2016-01-04","2016","1","2:00:00 AM","2016-01-04","243(D)M","Assault, No Weapon","500.0","G","St","523","Central","Hands, Fists, Feet","Race","3","Unknown","1.0","","Hospital","O","O","O","M","M","M","O","","","","M","","",""
"16001278","2016-01-10","2016","1","1:30:00 AM","2016-01-10","245A1","Assault, w/Weapon","3400.0","30th","St","813","Mid-City","Stick","Race","3","Unknown","1.0","","No Treat.","Unk","Unk","Unk","M","M","M","B","","","","M","","",""
"16004522","2016-01-31","2016","1","02:30:00","2016-01-31","594(B)(4)","Vandalism","1400.0","Imperial","Av","521","Central","Marker","Race","Unk","Unknown","2.0","","None","Unk","","","Unk","","","H","W","","","F","M","",""
"16005962","2016-02-09","2016","2","4:30:00 PM","2016-02-09","422.22(a)(4)","Threat, Phone Call","4100.0","Ute","Dr","116","Northern","Phone","Race","1","Known","1.0","","None","H","","","M","","","B","","","","M","","",""
"16005900","2016-02-10","2016","2","00:45:00","2016-02-10","417A1:M","Threat","100.0","University","Av","627","Western","Knife","Race","1","Unknown","2.0","","None","W","","","M","","","B","A","","","M","F","",""
"16006866","2016-02-16","2016","2","4:30:00 PM","2016-02-16","422.6","Vandalism","5800.0","University","Av","822","Mid-City","Paint","Race","Unk","Unknown","1.0","","None","Unk","","","Unk","","","B","","","","M","","",""
"16007286","2016-02-18","2016","2","20:43:00","2016-02-18","422.6","Threat","6200.0","Capri","Dr","323","Eastern","Phone","Religion","1","Unknown","1.0","","None","Unk","","","F","","","W","","","","M","","",""
"16008581","2016-02-26","2016","2","11:00:00 PM","2016-02-26","422.6","Vandalism","5400.0","Gilbert","Dr","326","Eastern","Unknown sharp object","Gender","Unk","Unknown","1.0","","None","Unk","","","Unk","","","I","","","","M","","",""
"16008340","2016-02-26","2016","2","5:25:00 PM","2016-02-26","422.6A","Assault, No Weapon","500.0","Euclid","Av","446","Southeastern","Hands, Fists, Feet","Race","1","Known","1.0","","No Treat.","B","","","M","","","H","","","","F","","",""
"16008751","2016-02-29","2016","2","04:00:00","2016-02-29","417A1:M","Threat","300.0","Park","Bl","521","Western","Knife","Race","1","Unknown","1.0","","None","H","","","M","","","B","","","","M","","",""
